repository,commit,type,before,after
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_crnn_layer(layer, network_state) at src/crnn_layer.h:11}","{Function forward_crnn_layer(layer, network) at src/crnn_layer.h:11})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_softmax_layer(softmax_layer, network_state) at src/softmax_layer.c:35}","{Function forward_softmax_layer(softmax_layer, network) at src/softmax_layer.c:35})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_connected_layer_gpu(connected_layer, network_state) at src/connected_layer.c:298}","{Function backward_connected_layer_gpu(connected_layer, network) at src/connected_layer.c:298})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_convolutional_layer(convolutional_layer, network_state) at src/convolutional_layer.h:30}","{Function forward_convolutional_layer(convolutional_layer, network) at src/convolutional_layer.h:31})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_rnn_layer(layer, network_state) at src/rnn_layer.h:12}","{Function forward_rnn_layer(layer, network) at src/rnn_layer.h:12})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_route_layer(route_layer, network_state) at src/route_layer.c:73}","{Function forward_route_layer(route_layer, network) at src/route_layer.c:73})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_shortcut_layer(layer, network_state) at src/shortcut_layer.h:9}","{Function backward_shortcut_layer(layer, network) at src/shortcut_layer.h:9})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_crnn_layer(layer, network_state) at src/crnn_layer.c:132}","{Function backward_crnn_layer(layer, network) at src/crnn_layer.c:132})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_deconvolutional_layer_gpu(layer, network_state) at src/deconvolutional_layer.h:12}","{Function backward_deconvolutional_layer_gpu(layer, network) at src/deconvolutional_layer.h:12})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_rnn_layer_gpu(layer, network_state) at src/rnn_layer.c:238}","{Function backward_rnn_layer_gpu(layer, network) at src/rnn_layer.c:238})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_network(network, network_state) at src/network.c:174}","{Function forward_network(network) at src/network.c:171})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_gru_layer_gpu(layer, network_state) at src/gru_layer.h:17}","{Function backward_gru_layer_gpu(layer, network) at src/gru_layer.h:17})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_connected_layer(connected_layer, network_state) at src/connected_layer.h:12}","{Function forward_connected_layer(connected_layer, network) at src/connected_layer.h:12})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_activation_layer(layer, network_state) at src/activation_layer.h:10}","{Function forward_activation_layer(layer, network) at src/activation_layer.h:10})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_detection_layer(detection_layer, network_state) at src/detection_layer.c:219}","{Function backward_detection_layer(detection_layer, network) at src/detection_layer.c:219})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","RENAME","{Function get_network_output_size(network) at src/network.c:419}","{Function get_network_output_layer(network) at src/network.c:549})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_cost_layer_gpu(cost_layer, network_state) at src/cost_layer.c:158}","{Function backward_cost_layer_gpu(cost_layer, network) at src/cost_layer.c:158})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_softmax_layer(softmax_layer, network_state) at src/softmax_layer.h:11}","{Function backward_softmax_layer(softmax_layer, network) at src/softmax_layer.h:11})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_convolutional_layer(convolutional_layer, network_state) at src/convolutional_layer.h:37}","{Function backward_convolutional_layer(convolutional_layer, network) at src/convolutional_layer.h:38})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_region_layer_gpu(layer, network_state) at src/region_layer.h:14}","{Function forward_region_layer_gpu(layer, network) at src/region_layer.h:14})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_activation_layer_gpu(layer, network_state) at src/activation_layer.c:58}","{Function backward_activation_layer_gpu(layer, network) at src/activation_layer.c:58})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_normalization_layer(layer, network_state) at src/normalization_layer.h:11}","{Function backward_normalization_layer(layer, network) at src/normalization_layer.h:11})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_region_layer_gpu(layer, network_state) at src/region_layer.h:15}","{Function backward_region_layer_gpu(layer, network) at src/region_layer.h:15})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_dropout_layer_gpu(dropout_layer, network_state) at src/dropout_layer.h:16}","{Function forward_dropout_layer_gpu(dropout_layer, network) at src/dropout_layer.h:16})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_activation_layer(layer, network_state) at src/activation_layer.h:11}","{Function backward_activation_layer(layer, network) at src/activation_layer.h:11})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_activation_layer_gpu(layer, network_state) at src/activation_layer.c:52}","{Function forward_activation_layer_gpu(layer, network) at src/activation_layer.c:52})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_detection_layer(detection_layer, network_state) at src/detection_layer.h:10}","{Function forward_detection_layer(detection_layer, network) at src/detection_layer.h:10})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_avgpool_layer_gpu(avgpool_layer, network_state) at src/avgpool_layer.h:19}","{Function backward_avgpool_layer_gpu(avgpool_layer, network) at src/avgpool_layer.h:19})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_region_layer_gpu(layer, network_state) at src/region_layer.c:397}","{Function forward_region_layer_gpu(layer, network) at src/region_layer.c:402})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_convolutional_layer_gpu(convolutional_layer, network_state) at src/convolutional_layer.h:14}","{Function backward_convolutional_layer_gpu(convolutional_layer, network) at src/convolutional_layer.h:14})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_convolutional_layer(convolutional_layer, network_state) at src/convolutional_layer.c:463}","{Function backward_convolutional_layer(convolutional_layer, network) at src/convolutional_layer.c:472})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_route_layer(route_layer, network_state) at src/route_layer.h:10}","{Function backward_route_layer(route_layer, network) at src/route_layer.h:10})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_cost_layer_gpu(cost_layer, network_state) at src/cost_layer.h:17}","{Function backward_cost_layer_gpu(cost_layer, network) at src/cost_layer.h:17})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_batchnorm_layer_gpu(layer, network_state) at src/batchnorm_layer.h:14}","{Function backward_batchnorm_layer_gpu(layer, network) at src/batchnorm_layer.h:14})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_dropout_layer(dropout_layer, network_state) at src/dropout_layer.h:11}","{Function forward_dropout_layer(dropout_layer, network) at src/dropout_layer.h:11})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_local_layer(local_layer, network_state) at src/local_layer.h:23}","{Function forward_local_layer(local_layer, network) at src/local_layer.h:23})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_reorg_layer(layer, network_state) at src/reorg_layer.c:90}","{Function forward_reorg_layer(layer, network) at src/reorg_layer.c:90})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_connected_layer(connected_layer, network_state) at src/connected_layer.c:128}","{Function forward_connected_layer(connected_layer, network) at src/connected_layer.c:128})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_network(network, network_state) at src/network.h:96}","{Function forward_network(network) at src/network.h:98})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function train_dcgan(char, char, char, char, int) at src/lsd.c:444}","{Function train_dcgan(char, char, char, char, int, int, char) at src/lsd.c:442})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_dropout_layer_gpu(dropout_layer, network_state) at src/dropout_layer.h:17}","{Function backward_dropout_layer_gpu(dropout_layer, network) at src/dropout_layer.h:17})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_rnn_layer_gpu(layer, network_state) at src/rnn_layer.h:18}","{Function backward_rnn_layer_gpu(layer, network) at src/rnn_layer.h:18})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_batchnorm_layer_gpu(layer, network_state) at src/batchnorm_layer.c:189}","{Function forward_batchnorm_layer_gpu(layer, network) at src/batchnorm_layer.c:193})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_local_layer_gpu(local_layer, network_state) at src/local_layer.c:181}","{Function forward_local_layer_gpu(local_layer, network) at src/local_layer.c:181})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function forward_route_layer_gpu(route_layer, network_state) at src/route_layer.h:14}","{Function forward_route_layer_gpu(route_layer, network) at src/route_layer.h:14})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_crnn_layer_gpu(layer, network_state) at src/crnn_layer.c:246}","{Function backward_crnn_layer_gpu(layer, network) at src/crnn_layer.c:244})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_normalization_layer(layer, network_state) at src/normalization_layer.c:96}","{Function backward_normalization_layer(layer, network) at src/normalization_layer.c:96})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_dropout_layer(dropout_layer, network_state) at src/dropout_layer.c:50}","{Function backward_dropout_layer(dropout_layer, network) at src/dropout_layer.c:50})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function backward_dropout_layer(dropout_layer, network_state) at src/dropout_layer.h:12}","{Function backward_dropout_layer(dropout_layer, network) at src/dropout_layer.h:12})"
"darknet","8d9ed0a1d680c8d31e453e2e1cebfda66b357c11","CHANGE_SIGNATURE","{Function get_network_output_layer(network, int) at src/network.h:112}","{Function get_network_output_layer(network) at src/network.h:114})"
